Channel_SN,Channel_RxFreq,Channel_TxFreq,Channel_RxQt,Channel_TxQt,Channel_Power,Channel_Band,Channel_MuteMode,Channel_Scream,Channel_ScanAdd,Channel_Compand,Channel_AM,Channel_FAV,Channel_SendLoc,Channel_CallCodeSn,Channel_Name
307,151.76000,151.76000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 151.7600
308,151.77500,151.77500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 151.7750
309,151.82000,151.82000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 151.8200
310,151.86500,151.86500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 151.8650
311,151.88000,151.88000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 151.8800
312,151.89500,151.89500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 151.9250


313,151.92500,151.92500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 151.9400
314,151.94000,151.94000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 151.9550
315,151.95500,151.95500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 151.9950
316,151.99500,151.99500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 151.9000
317,152.90000,400.00000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 152.9000
318,154.49000,154.49000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 154.4900
319,154.51500,154.51500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 154.5150
320,154.52750,154.52750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 154.5275
321,154.54000,154.54000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 154.5400
322,154.54750,154.54750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 154.5475
323,154.57000,154.57000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 154.5700
324,154.60000,154.60000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 154.6000
325,464.50000,464.50000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 464.5000
326,464.55000,464.55000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 464.5500
327,461.03750,461.03750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.0375
328,461.06250,461.06250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.0625
329,464.55000,464.55000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 464.5000
330,461.08750,461.08750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.0875
331,461.36250,461.36250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.3675
332,461.11250,461.11250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 462.1125
333,462.48750,462.48750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 462.4875
334,461.13750,461.13750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.1375
335,462.53750,462.53750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 462.5375
336,461.16250,461.16250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.1625
337,462.03750,462.03750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 462.0375
338,461.18750,461.18750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.1875
339,464.08750,464.08750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 464.0875
340,461.16250,461.16250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.1625
341,464.13750,464.13750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 464.1325
342,461.23750,461.23750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.1375
343,461.26250,461.26250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.2625
344,461.28750,461.28750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.2875
345,461.31250,461.31250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.3125
346,461.33750,461.33750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.3375
347,461.36250,461.36250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.3625
348,462.76250,462.76250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 462.7625
349,462.78750,462.78750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 462.7875
350,462.81250,462.81250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 462.8125
351,462.83750,462.83750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 462.8375
352,462.86250,462.86250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 462.8625
353,462.88750,462.88750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 462.8875
354,462.91250,462.91250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 462.9125
355,464.48750,464.48750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 464.4875
356,464.51250,464.51250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 464.5125
357,464.53750,464.53750,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,3,RDX 461.5375
358,,,,,,,,,,,,,,,
359,,,,,,,,,,,,,,,
360,,,,,,,,,,,,,,,
361,,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,
363,,,,,,,,,,,,,,,
364,,,,,,,,,,,,,,,
365,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,
371,,,,,,,,,,,,,,,
372,,,,,,,,,,,,,,,
373,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,
380,,,,,,,,,,,,,,,
381,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,
400,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,
402,,,,,,,,,,,,,,,
403,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,
405,,,,,,,,,,,,,,,
406,,,,,,,,,,,,,,,
407,,,,,,,,,,,,,,,
408,,,,,,,,,,,,,,,
409,,,,,,,,,,,,,,,
410,,,,,,,,,,,,,,,
411,,,,,,,,,,,,,,,
412,,,,,,,,,,,,,,,
413,,,,,,,,,,,,,,,
414,,,,,,,,,,,,,,,
415,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,
417,,,,,,,,,,,,,,,
418,,,,,,,,,,,,,,,
419,,,,,,,,,,,,,,,
420,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,
422,,,,,,,,,,,,,,,
423,,,,,,,,,,,,,,,
424,,,,,,,,,,,,,,,
425,,,,,,,,,,,,,,,
426,,,,,,,,,,,,,,,
427,,,,,,,,,,,,,,,
428,,,,,,,,,,,,,,,
429,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,
431,,,,,,,,,,,,,,,
432,,,,,,,,,,,,,,,
433,,,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,
435,,,,,,,,,,,,,,,
436,,,,,,,,,,,,,,,
437,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,
440,,,,,,,,,,,,,,,
441,,,,,,,,,,,,,,,
442,,,,,,,,,,,,,,,
443,,,,,,,,,,,,,,,
444,,,,,,,,,,,,,,,
445,,,,,,,,,,,,,,,
446,,,,,,,,,,,,,,,
447,,,,,,,,,,,,,,,
448,,,,,,,,,,,,,,,
449,,,,,,,,,,,,,,,
450,,,,,,,,,,,,,,,
451,,,,,,,,,,,,,,,
452,,,,,,,,,,,,,,,
453,,,,,,,,,,,,,,,
454,,,,,,,,,,,,,,,
455,,,,,,,,,,,,,,,
456,,,,,,,,,,,,,,,
457,,,,,,,,,,,,,,,
458,,,,,,,,,,,,,,,
459,,,,,,,,,,,,,,,
460,,,,,,,,,,,,,,,
461,,,,,,,,,,,,,,,
462,,,,,,,,,,,,,,,
463,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,
465,,,,,,,,,,,,,,,
466,,,,,,,,,,,,,,,
467,,,,,,,,,,,,,,,
468,,,,,,,,,,,,,,,
469,,,,,,,,,,,,,,,
470,,,,,,,,,,,,,,,
471,,,,,,,,,,,,,,,
472,,,,,,,,,,,,,,,
473,,,,,,,,,,,,,,,
474,,,,,,,,,,,,,,,
475,,,,,,,,,,,,,,,
476,,,,,,,,,,,,,,,
477,,,,,,,,,,,,,,,
478,,,,,,,,,,,,,,,
479,,,,,,,,,,,,,,,
480,,,,,,,,,,,,,,,
481,,,,,,,,,,,,,,,
482,,,,,,,,,,,,,,,
483,,,,,,,,,,,,,,,
484,,,,,,,,,,,,,,,
485,,,,,,,,,,,,,,,
486,,,,,,,,,,,,,,,
487,,,,,,,,,,,,,,,
488,,,,,,,,,,,,,,,
489,,,,,,,,,,,,,,,
490,,,,,,,,,,,,,,,
491,,,,,,,,,,,,,,,
492,,,,,,,,,,,,,,,
493,,,,,,,,,,,,,,,
494,,,,,,,,,,,,,,,
495,,,,,,,,,,,,,,,
496,,,,,,,,,,,,,,,
497,,,,,,,,,,,,,,,
498,,,,,,,,,,,,,,,
499,,,,,,,,,,,,,,,
500,,,,,,,,,,,,,,,
501,,,,,,,,,,,,,,,
502,,,,,,,,,,,,,,,
503,,,,,,,,,,,,,,,
504,,,,,,,,,,,,,,,
505,,,,,,,,,,,,,,,
506,,,,,,,,,,,,,,,
507,,,,,,,,,,,,,,,
508,,,,,,,,,,,,,,,
509,,,,,,,,,,,,,,,
510,,,,,,,,,,,,,,,
511,,,,,,,,,,,,,,,
512,,,,,,,,,,,,,,,
513,,,,,,,,,,,,,,,
514,,,,,,,,,,,,,,,
515,,,,,,,,,,,,,,,
516,,,,,,,,,,,,,,,
517,,,,,,,,,,,,,,,
518,,,,,,,,,,,,,,,
519,,,,,,,,,,,,,,,
520,,,,,,,,,,,,,,,
521,,,,,,,,,,,,,,,
522,,,,,,,,,,,,,,,
523,,,,,,,,,,,,,,,
524,,,,,,,,,,,,,,,
525,,,,,,,,,,,,,,,
526,,,,,,,,,,,,,,,
527,,,,,,,,,,,,,,,
528,,,,,,,,,,,,,,,
529,,,,,,,,,,,,,,,
530,,,,,,,,,,,,,,,
531,,,,,,,,,,,,,,,
532,,,,,,,,,,,,,,,
533,,,,,,,,,,,,,,,
534,,,,,,,,,,,,,,,
535,,,,,,,,,,,,,,,
536,,,,,,,,,,,,,,,
537,,,,,,,,,,,,,,,
538,,,,,,,,,,,,,,,
539,,,,,,,,,,,,,,,
540,,,,,,,,,,,,,,,
541,,,,,,,,,,,,,,,
542,,,,,,,,,,,,,,,
543,,,,,,,,,,,,,,,
544,,,,,,,,,,,,,,,
545,,,,,,,,,,,,,,,
546,,,,,,,,,,,,,,,
547,,,,,,,,,,,,,,,
548,,,,,,,,,,,,,,,
549,,,,,,,,,,,,,,,
550,,,,,,,,,,,,,,,
551,,,,,,,,,,,,,,,
552,,,,,,,,,,,,,,,
553,,,,,,,,,,,,,,,
554,,,,,,,,,,,,,,,
555,,,,,,,,,,,,,,,
556,,,,,,,,,,,,,,,
557,,,,,,,,,,,,,,,
558,,,,,,,,,,,,,,,
559,,,,,,,,,,,,,,,
560,,,,,,,,,,,,,,,
561,,,,,,,,,,,,,,,
562,,,,,,,,,,,,,,,
563,,,,,,,,,,,,,,,
564,,,,,,,,,,,,,,,
565,,,,,,,,,,,,,,,
566,,,,,,,,,,,,,,,
567,,,,,,,,,,,,,,,
568,,,,,,,,,,,,,,,
569,,,,,,,,,,,,,,,
570,,,,,,,,,,,,,,,
571,,,,,,,,,,,,,,,
572,,,,,,,,,,,,,,,
573,,,,,,,,,,,,,,,
574,,,,,,,,,,,,,,,
575,,,,,,,,,,,,,,,
576,,,,,,,,,,,,,,,
577,,,,,,,,,,,,,,,
578,,,,,,,,,,,,,,,
579,,,,,,,,,,,,,,,
580,,,,,,,,,,,,,,,
581,,,,,,,,,,,,,,,
582,,,,,,,,,,,,,,,
583,,,,,,,,,,,,,,,
584,,,,,,,,,,,,,,,
585,,,,,,,,,,,,,,,
586,,,,,,,,,,,,,,,
587,,,,,,,,,,,,,,,
588,,,,,,,,,,,,,,,
589,,,,,,,,,,,,,,,
590,,,,,,,,,,,,,,,
591,,,,,,,,,,,,,,,
592,,,,,,,,,,,,,,,
593,,,,,,,,,,,,,,,
594,,,,,,,,,,,,,,,
595,,,,,,,,,,,,,,,
596,,,,,,,,,,,,,,,
597,,,,,,,,,,,,,,,
598,,,,,,,,,,,,,,,
599,,,,,,,,,,,,,,,
600,,,,,,,,,,,,,,,
601,,,,,,,,,,,,,,,
602,,,,,,,,,,,,,,,
603,,,,,,,,,,,,,,,
604,,,,,,,,,,,,,,,
605,,,,,,,,,,,,,,,
606,,,,,,,,,,,,,,,
607,,,,,,,,,,,,,,,
608,,,,,,,,,,,,,,,
609,,,,,,,,,,,,,,,
610,,,,,,,,,,,,,,,
611,,,,,,,,,,,,,,,
612,,,,,,,,,,,,,,,
613,,,,,,,,,,,,,,,
614,,,,,,,,,,,,,,,
615,,,,,,,,,,,,,,,
616,,,,,,,,,,,,,,,
617,,,,,,,,,,,,,,,
618,,,,,,,,,,,,,,,
619,,,,,,,,,,,,,,,
620,,,,,,,,,,,,,,,
621,,,,,,,,,,,,,,,
622,,,,,,,,,,,,,,,
623,,,,,,,,,,,,,,,
624,,,,,,,,,,,,,,,
625,,,,,,,,,,,,,,,
626,,,,,,,,,,,,,,,
627,,,,,,,,,,,,,,,
628,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,
630,,,,,,,,,,,,,,,
631,,,,,,,,,,,,,,,
632,,,,,,,,,,,,,,,
633,,,,,,,,,,,,,,,
634,,,,,,,,,,,,,,,
635,,,,,,,,,,,,,,,
636,,,,,,,,,,,,,,,
637,,,,,,,,,,,,,,,
638,,,,,,,,,,,,,,,
639,,,,,,,,,,,,,,,
640,,,,,,,,,,,,,,,
641,,,,,,,,,,,,,,,
642,,,,,,,,,,,,,,,
643,,,,,,,,,,,,,,,
644,,,,,,,,,,,,,,,
645,,,,,,,,,,,,,,,
646,,,,,,,,,,,,,,,
647,,,,,,,,,,,,,,,
648,,,,,,,,,,,,,,,
649,,,,,,,,,,,,,,,
650,,,,,,,,,,,,,,,
651,,,,,,,,,,,,,,,
652,,,,,,,,,,,,,,,
653,,,,,,,,,,,,,,,
654,,,,,,,,,,,,,,,
655,,,,,,,,,,,,,,,
656,,,,,,,,,,,,,,,
657,,,,,,,,,,,,,,,
658,,,,,,,,,,,,,,,
659,,,,,,,,,,,,,,,
660,,,,,,,,,,,,,,,
661,,,,,,,,,,,,,,,
662,,,,,,,,,,,,,,,
663,,,,,,,,,,,,,,,
664,,,,,,,,,,,,,,,
665,,,,,,,,,,,,,,,
666,,,,,,,,,,,,,,,
667,,,,,,,,,,,,,,,
668,,,,,,,,,,,,,,,
669,,,,,,,,,,,,,,,
670,,,,,,,,,,,,,,,
671,,,,,,,,,,,,,,,
672,,,,,,,,,,,,,,,
673,,,,,,,,,,,,,,,
674,,,,,,,,,,,,,,,
675,,,,,,,,,,,,,,,
676,,,,,,,,,,,,,,,
677,,,,,,,,,,,,,,,
678,,,,,,,,,,,,,,,
679,,,,,,,,,,,,,,,
680,,,,,,,,,,,,,,,
681,,,,,,,,,,,,,,,
682,,,,,,,,,,,,,,,
683,,,,,,,,,,,,,,,
684,,,,,,,,,,,,,,,
685,,,,,,,,,,,,,,,
686,,,,,,,,,,,,,,,
687,,,,,,,,,,,,,,,
688,,,,,,,,,,,,,,,
689,,,,,,,,,,,,,,,
690,,,,,,,,,,,,,,,
691,,,,,,,,,,,,,,,
692,,,,,,,,,,,,,,,
693,,,,,,,,,,,,,,,
694,,,,,,,,,,,,,,,
695,,,,,,,,,,,,,,,
696,,,,,,,,,,,,,,,
697,,,,,,,,,,,,,,,
698,,,,,,,,,,,,,,,
699,,,,,,,,,,,,,,,
700,,,,,,,,,,,,,,,
701,,,,,,,,,,,,,,,
702,,,,,,,,,,,,,,,
703,,,,,,,,,,,,,,,
704,,,,,,,,,,,,,,,
705,,,,,,,,,,,,,,,
706,,,,,,,,,,,,,,,
707,,,,,,,,,,,,,,,
708,,,,,,,,,,,,,,,
709,,,,,,,,,,,,,,,
710,,,,,,,,,,,,,,,
711,,,,,,,,,,,,,,,
712,,,,,,,,,,,,,,,
713,,,,,,,,,,,,,,,
714,,,,,,,,,,,,,,,
715,,,,,,,,,,,,,,,
716,,,,,,,,,,,,,,,
717,,,,,,,,,,,,,,,
718,,,,,,,,,,,,,,,
719,,,,,,,,,,,,,,,
720,,,,,,,,,,,,,,,
721,,,,,,,,,,,,,,,
722,,,,,,,,,,,,,,,
723,,,,,,,,,,,,,,,
724,,,,,,,,,,,,,,,
725,160.44000,160.44000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF22
726,160.48500,160.48500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF25
727,160.56000,160.56000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF30
728,160.93500,160.93500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF55
729,161.19000,161.19000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF72
730,161.07000,161.00000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF64
731,160.72500,160.72500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF41
732,154.54000,154.54000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF A
733,160.87500,160.87500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF 51
734,160.69500,160.69500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF39
735,161.23500,161.23500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF75
736,161.37000,161.37000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF84
737,161.52000,161.52000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,BNSF94
738,160.35000,160.35000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,KCS16
739,160.26000,160.26000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,KCS10
740,161.05500,161.05500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,KCS52
741,160.86000,160.86000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,6,KCS50
742,,,,,,,,,,,,,,,
743,,,,,,,,,,,,,,,
744,,,,,,,,,,,,,,,
745,151.82000,155.00000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,MURS 1
746,151.88000,151.88000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,MURS 2
747,151.94000,151.94000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,Murs 3
748,154.57000,154.57000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,Blue Dot
749,154.60000,154.60000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,Green Dot
750,151.62500,151.62500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,Red Dot
751,151.95500,151.95500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,Purple Dor
752,462.57500,462.57500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,White Dot
753,462.62500,462.62500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,Black Dot
754,462.67500,462.67500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,Orange DOR
755,464.50000,464.50000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,Brown Dor
756,464.55000,464.55000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,Yellow Dor
757,467.76250,467.76250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,J Dot
758,467.81250,467.81250,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,K Dot
759,467.85000,467.85000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,SIlver Star
760,467.87500,463.00000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,Gold Star
761,467.90000,467.90000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,Red Star
762,467.92500,467.92500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,1,Blue Star
763,,,,,,,,,,,,,,,
764,,,,,,,,,,,,,,,
765,,,,,,,,,,,,,,,
766,,,,,,,,,,,,,,,
767,,,,,,,,,,,,,,,
768,,,,,,,,,,,,,,,
769,,,,,,,,,,,,,,,
770,,,,,,,,,,,,,,,
771,,,,,,,,,,,,,,,
772,,,,,,,,,,,,,,,
773,,,,,,,,,,,,,,,
774,,,,,,,,,,,,,,,
775,156.05000,156.05000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 01
776,156.25000,156.25000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 05
777,156.30000,156.30000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 06
778,156.35000,156.35000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 07
779,156.40000,156.40000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 08
780,156.45000,156.45000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 09
781,156.50000,156.50000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 10
782,156.55000,156.55000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 11
783,156.60000,156.60000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 12
784,156.65000,156.65000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 13
785,156.65000,156.65000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 13
786,156.70000,156.70000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 14
787,156.75000,156.75000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 15
788,156.80000,156.90000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 16
789,156.80000,156.80000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 16
790,156.85000,156.85000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 17
791,156.90000,156.90000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 18
792,156.95000,156.95000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 19
793,157.00000,157.00000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 20
794,157.05000,157.05000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 21
795,157.10000,157.10000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 22A
796,157.15000,157.15000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 23
797,157.20000,157.20000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 24
798,157.25000,157.25000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 25
799,157.30000,157.30000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 26
800,157.35000,157.35000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 27
801,157.40000,157.40000,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 28
802,156.17500,156.17500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 63
803,156.27500,156.27500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 65
804,156.32500,156.32500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 66
805,156.37500,156.37500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 67
806,156.42500,156.42500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 68
807,156.47500,156.47500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 69
808,156.52500,156.52500,OFF,OFF,High,Wide,QT,OFF,ON,OFF,OFF,OFF,OFF,7,SEA 70
